Username,Tweet,Hashtags,clean_tweet,polarity,subjectivity,sentiment
Liz Churchill,Told you this was fake. Lol.,,told fake lol,0.15,0.85,Positive
Rosy,"Another Google Maps Fiasco- Couple in Indonesia drives off unfinished highway by
following Google Maps",,another google maps fiasco couple indonesia drives unfinished highway following google maps,0.0,0.1,Neutral
Breaking911,MOTHER OF KARMELO ANTHONY: “We have not received a single dime from the GiveSendGo fundraiser...We were just notified yesterday that we could begin to withdraw funds...”,,mother karmelo anthony received single dime givesendgo fundraiserwe notified yesterday could begin withdraw funds,-0.0714285714285714,0.2142857142857142,Negative
Baseball’s Greatest Moments,Turns out the greatest athlete alive is a dog named Winston ,,turns greatest athlete alive dog named winston,0.55,0.7,Positive
Juanita Broaddrick,Kid is already a legend.   ,,kid already legend,0.0,0.0,Neutral
Irmak Guzey,"Despite great advances in learning dexterity, hardware remains a major bottleneck. Most dexterous hands are either bulky, weak or expensive.
I’m thrilled to present the RUKA Hand — a powerful, accessible research tool for dexterous manipulation that overcomes these limitations!",,despite great advances learning dexterity hardware remains major bottleneck dexterous hands either bulky weak expensive thrilled present ruka hand powerful accessible research tool dexterous manipulation overcomes limitations,0.1578125,0.58125,Positive
Elon Musk,Government-funded NGOs (a contradiction in terms) are probably the biggest source of fraud,,governmentfunded ngos contradiction terms probably biggest source fraud,0.0,0.0,Neutral
KREA AI,"welcome to Stage.

this experimental tool lets you create entire 3D environments with AI from images or text.

try it now!",,welcome stage experimental tool lets create entire environments images text try,0.3,0.6416666666666667,Positive
Defiant L’s,Seems like people are getting tired of these things happening.,,seems like people getting tired things happening,-0.4,0.7,Negative
silvia,yoongi will have time to release another solo album if he wants to,,yoongi time release another solo album wants,0.2,0.1,Positive
